controller,classId,mode,n,winRate,avgFloor,avgFinalHp,avgDamagePerRoom,avgLeaksPerRoom,avgBossTime,maxRoomTime,avgWeapon,avgLevel,projectileHits,ritualsStarted,ritualsGuarded,ritualsInterrupted
moving,knight,none,32,0,10.625,0,19.322695035460992,2.897163120567376,9.427777777777619,51.949999999999186,10,8.4375,4,0,0,0
moving,knight,weak,32,0.78125,11.78125,78.48,10.715277777777779,2.2847222222222223,13.246874999999655,65.14999999999844,10,9.25,1,75,44,26
moving,knight,coherent,32,1,12,138.90625,0.03819444444444445,0.4722222222222222,7.616666666666646,58.7499999999988,10,10,0,41,33,5
moving,ranger,none,32,0,7.90625,0,15.09009009009009,0.8828828828828829,12.304761904761717,50.34999999999928,9.9375,7.9375,2,0,0,0
moving,ranger,weak,32,0.0625,9.9375,36.5,20.187265917602996,1.0112359550561798,8.43024691358019,49.19999999999934,10,8.96875,0,4,2,2
moving,ranger,coherent,32,0.90625,11.90625,79.20689655172414,7.329861111111111,0.3159722222222222,9.276041666666554,51.19999999999923,10,9.9375,0,45,29,13
moving,mage,none,32,0,8.34375,0,12.893617021276595,0.7021276595744681,9.455468749999982,44.44999999999961,10,8.34375,0,0,0,0
moving,mage,weak,32,0.34375,10.90625,40.90909090909091,16.505338078291814,0.8362989323843416,7.124157303370781,49.8999999999993,10,9.46875,0,22,13,8
moving,mage,coherent,32,1,12,98.53125,1.4097222222222223,0.11458333333333333,7.167708333333329,49.499999999999325,10,10,0,40,32,3
stationary,knight,none,32,0,4.34375,0,30.057971014492754,5.920289855072464,24.574242424241664,62.349999999998595,4.5,3.875,183,0,0,0
stationary,knight,weak,32,0,5.53125,0,30.672619047619047,6.107142857142857,19.432926829267767,59.349999999998765,5,4.34375,205,0,0,0
stationary,knight,coherent,32,0.625,9.875,103.3,14.616,7.024,18.665384615384003,60.749999999998685,7.125,6.03125,327,49,26,18
stationary,ranger,none,32,0,0.875,0,48.96666666666667,4.25,0,35.800000000000104,1.75,1.90625,32,0,0,0
stationary,ranger,weak,32,0,0.875,0,49.4,4.25,0,35.800000000000104,1.75,1.90625,32,0,0,0
stationary,ranger,coherent,32,0,0.9375,0,51.14754098360656,4.344262295081967,0,35.800000000000104,1.90625,1.90625,33,0,0,0
stationary,mage,none,32,0,0.96875,0,41.74603174603175,3.8095238095238093,0,32.20000000000031,1.9375,2.09375,30,0,0,0
stationary,mage,weak,32,0,1.03125,0,42.46875,3.84375,0,32.20000000000031,2.03125,2.125,30,0,0,0
stationary,mage,coherent,32,0,1.25,0,43.61764705882353,3.7794117647058822,3.78750000000011,34.900000000000155,2.5,2.28125,35,0,0,0
