"关","层","难度档","敌人生命预算倍率","敌人攻击倍率","金币倍率"
"1","1","1","1","1","1"
"2","1","1","1.23","1","1"
"3","1","1","1.5129","1","1"
"4","1","1","1.8608669999999998","1","1"
"5","1","1","2.28886641","1","1"
"6","2","1","2.8153056842999997","1","1"
"7","2","1","3.462825991689","1","1"
"8","2","1","4.25927596977747","1","1"
"9","2","1","5.238909442826287","1","1"
"10","2","1","6.4438586146763335","1","1"
"11","3","1","7.92594609605189","1","1"
"12","3","1","9.748913698143825","1","1"
"13","3","1","11.991163848716905","1","1"
"14","3","1","14.749131533921792","1","1"
"15","3","1","18.141431786723803","1","1"
"16","4","2","108.84859072034283","1.18","1.045"
"17","4","2","109.71937944610553","1.18","1.0920249999999998"
"18","4","2","110.59713448167443","1.18","1.1411661249999998"
"19","4","2","111.48191155752778","1.18","1.1925186006249997"
"20","4","2","112.37376684998804","1.18","1.2461819376531247"
"21","5","2","113.2727569847879","1.18","1.3022601248475152"
"22","5","2","114.17893904066626","1.18","1.3608618304656532"
"23","5","2","115.09237055299155","1.18","1.4221006128366074"
"24","5","2","116.01310951741553","1.18","1.4860951404142546"
"25","5","2","116.94121439355482","1.18","1.552969421732896"
"26","6","2","117.8767441087033","1.18","1.6228530457108763"
"27","6","2","118.81975806157288","1.18","1.6958814327678655"
"28","6","2","119.77031612606552","1.18","1.7721960972424193"
"29","6","2","120.728478655074","1.18","1.8519449216183281"
"30","6","2","121.69430648431464","1.18","1.9352824430911528"
"31","7","3","261.23661772882264","1.3923999999999999","2.0223701530302547"
"32","7","3","263.32651067065314","1.3923999999999999","2.1133768099166157"
"33","7","3","265.43312275601846","1.3923999999999999","2.2084787663628633"
"34","7","3","267.5565877380665","1.3923999999999999","2.307860310849192"
"35","7","3","269.69704043997115","1.3923999999999999","2.411714024837406"
"36","8","3","271.8546167634908","1.3923999999999999","2.520241155955089"
"37","8","3","274.0294536975989","1.3923999999999999","2.6336520079730676"
"38","8","3","276.22168932717955","1.3923999999999999","2.7521663483318553"
"39","8","3","278.43146284179716","1.3923999999999999","2.8760138340067884"
"40","8","3","280.6589145445314","1.3923999999999999","3.005434456537094"
"41","9","3","282.90418586088776","1.3923999999999999","3.140679007081263"
"42","9","3","285.16741934777474","1.3923999999999999","3.2820095623999195"
"43","9","3","287.4487587025571","1.3923999999999999","3.4296999927079157"
"44","9","3","289.74834877217745","1.3923999999999999","3.584036492379772"
"45","9","3","292.066335562355","1.3923999999999999","3.7453181345368614"
"46","10","4","626.9678825491741","1.6430319999999998","3.9138574505910197"
"47","10","4","631.9836256095672","1.6430319999999998","4.089981035867615"
"48","10","4","637.039494614444","1.6430319999999998","4.274030182481658"
"49","10","4","642.1358105713593","1.6430319999999998","4.466361540693332"
"50","10","4","647.2728970559305","1.6430319999999998","4.667347810024531"
"51","11","4","652.4510802323776","1.6430319999999998","4.877378461475635"
"52","11","4","657.6706888742369","1.6430319999999998","5.096860492242039"
"53","11","4","662.9320543852306","1.6430319999999998","5.32621921439293"
"54","11","4","668.2355108203128","1.6430319999999998","5.565899079040611"
"55","11","4","673.581394906875","1.6430319999999998","5.816364537597439"
"56","12","4","678.9700460661303","1.6430319999999998","6.078100941789322"
"57","12","4","684.4018064346591","1.6430319999999998","6.351615484169842"
"58","12","4","689.8770208861367","1.6430319999999998","6.637438180957484"
"59","12","4","695.3960370532254","1.6430319999999998","6.93612289910057"
"60","12","4","700.9592053496516","1.6430319999999998","7.248248429560095"
"61","13","5","3134.839412745868","1.9387777599999996","7.5744196088903"
"62","13","5","3159.9181280478333","1.9387777599999996","7.915268491290362"
"63","13","5","3185.197473072215","1.9387777599999996","8.271455573398429"
"64","13","5","3210.679052856797","1.9387777599999996","8.643671074201357"
"65","13","5","3236.3644852796497","1.9387777599999996","9.032636272540417"
"66","14","5","3262.255401161886","1.9387777599999996","9.439104904804735"
"67","14","5","3288.3534443711796","1.9387777599999996","9.863864625520948"
"68","14","5","3314.6602719261537","1.9387777599999996","10.30773853366939"
"69","14","5","3341.1775541015613","1.9387777599999996","10.77158676768451"
"70","14","5","3367.9069745343722","1.9387777599999996","11.256308172230314"
"71","15","5","3394.850230330646","1.9387777599999996","11.762842039980677"
"72","15","5","3422.009032173296","1.9387777599999996","12.292169931779807"
"73","15","5","3449.3851044306807","1.9387777599999996","12.845317578709897"
"74","15","5","3476.980185266125","1.9387777599999996","13.423356869751842"
"75","15","5","3504.796026748252","1.9387777599999996","14.027407928890673"
"76","16","6","15674.197063729354","2.2877577567999996","14.658641285690752"
"77","16","6","15799.590640239183","2.2877577567999996","15.318280143546836"
"78","16","6","15925.98736536109","2.2877577567999996","16.00760275000644"
"79","16","6","16053.395264284001","2.2877577567999996","16.72794487375673"
"80","16","6","16181.822426398267","2.2877577567999996","17.48070239307578"
"81","17","6","16311.277005809445","2.2877577567999996","18.26733400076419"
"82","17","6","16441.767221855913","2.2877577567999996","19.089364030798578"
"83","17","6","16573.301359630783","2.2877577567999996","19.948385412184514"
"84","17","6","16705.887770507823","2.2877577567999996","20.846062755732817"
"85","17","6","16839.53487267188","2.2877577567999996","21.78413557974079"
"86","18","6","16974.251151653247","2.2877577567999996","22.764421680829123"
"87","18","6","17110.045160866495","2.2877577567999996","23.788820656466434"
"88","18","6","17246.925522153422","2.2877577567999996","24.85931758600742"
"89","18","6","17384.90092633064","2.2877577567999996","25.977986877377752"
"90","18","6","17523.98013374128","2.2877577567999996","27.14699628685975"
"91","19","7","78370.98531864671","2.6995541530239993","28.36861111976844"
"92","19","7","78997.95320119585","2.6995541530239993","29.645198620158016"
"93","19","7","79629.9368268054","2.6995541530239993","30.979232558065124"
"94","19","7","80266.97632141995","2.6995541530239993","32.37329802317805"
"95","19","7","80909.11213199126","2.6995541530239993","33.83009643422106"
"96","20","7","81556.38502904716","2.6995541530239993","35.35245077376101"
"97","20","7","82208.83610927951","2.6995541530239993","36.94331105858025"
"98","20","7","82866.50679815386","2.6995541530239993","38.60576005621636"
"99","20","7","83529.43885253905","2.6995541530239993","40.34301925874609"
"100","20","7","84197.67436335933","2.6995541530239993","42.158455125389665"
"101","21","7","84871.25575826617","2.6995541530239993","44.055585606032196"
"102","21","7","85550.22580433241","2.6995541530239993","46.038086958303644"
"103","21","7","86234.62761076704","2.6995541530239993","48.1098008714273"
"104","21","7","86924.50463165314","2.6995541530239993","50.274741910641524"
"105","21","7","87619.90066870634","2.6995541530239993","52.53710529662039"
"106","22","8","391854.92659323325","3.185473900568319","54.90127503496831"
"107","22","8","394989.766005979","3.185473900568319","57.371832411541874"
"108","22","8","398149.68413402664","3.185473900568319","59.95356487006126"
"109","22","8","401334.88160709944","3.185473900568319","62.651475289214005"
"110","22","8","404545.56065995607","3.185473900568319","65.47079167722863"
