sample,classId,seed,difficulty,mode,win,floor,hp,maxHp,weapon,goldEarned,doubleBossWins,flawlessBosses,level,failure
normal,knight,734,normal,coherent,True,15,266,266,19,1534,0,3,10,
normal,knight,1743,normal,coherent,True,15,187,210,23,1835,0,3,11,
normal,knight,2752,normal,coherent,True,15,242,242,25,1716,0,3,11,
normal,knight,3761,normal,coherent,True,15,218,236,17,1573,0,3,10,
normal,knight,4770,normal,coherent,True,15,222,222,22,1744,0,3,10,
normal,knight,5779,normal,coherent,True,15,270,270,24,1799,0,3,11,
normal,knight,6788,normal,coherent,True,15,195,195,23,1610,0,3,10,
normal,knight,7797,normal,coherent,True,15,174,174,23,1701,0,3,10,
normal,knight,8806,normal,coherent,True,15,236,236,24,1584,0,3,10,
normal,knight,9815,normal,coherent,True,15,282,282,23,1565,0,3,10,
normal,knight,10824,normal,coherent,True,15,174,174,24,1546,0,3,10,
normal,knight,11833,normal,coherent,True,15,234,234,19,1440,0,3,10,
normal,knight,12842,normal,coherent,True,15,246,246,21,1584,0,3,10,
normal,knight,13851,normal,coherent,True,15,169,194,22,1580,0,3,10,
normal,knight,14860,normal,coherent,True,15,214,214,21,1542,0,3,10,
normal,knight,15869,normal,coherent,True,15,189,189,25,1501,0,3,10,
normal,knight,734,normal,economy,True,15,226,266,19,2295,0,3,10,
normal,knight,1743,normal,economy,False,14,0,297,23,1979,0,2,10,pressure
normal,knight,2752,normal,economy,True,15,371,371,25,1932,0,3,11,
normal,knight,3761,normal,economy,True,15,307,307,18,1673,0,3,10,
normal,knight,4770,normal,economy,True,15,277,277,20,2176,0,3,10,
normal,knight,5779,normal,economy,False,14,0,285,21,1863,0,2,10,pressure
normal,knight,6788,normal,economy,True,15,259,259,23,1622,0,3,10,
normal,knight,7797,normal,economy,True,15,105,243,18,2044,0,2,10,
normal,knight,8806,normal,economy,True,15,219,219,23,2221,0,3,10,
normal,knight,9815,normal,economy,True,15,207,207,23,2258,0,3,10,
normal,knight,10824,normal,economy,False,9,0,207,17,831,0,1,8,pressure
normal,knight,11833,normal,economy,True,15,303,303,18,1870,0,3,10,
normal,knight,12842,normal,economy,True,15,257,257,21,2114,0,3,10,
normal,knight,13851,normal,economy,False,7,0,213,10,600,0,1,6,waves
normal,knight,14860,normal,economy,True,15,268,268,21,1802,0,3,10,
normal,knight,15869,normal,economy,True,15,315,315,22,1781,0,3,10,
normal,knight,734,normal,none,False,12,0,168,19,1124,0,1,9,waves
normal,knight,1743,normal,none,False,14,0,174,21,1627,0,1,10,pressure
normal,knight,2752,normal,none,False,9,0,162,17,755,0,1,8,pressure
normal,knight,3761,normal,none,False,9,0,168,14,952,0,1,9,pressure
normal,knight,4770,normal,none,False,9,0,168,18,979,0,1,9,pressure
normal,knight,5779,normal,none,False,5,0,150,11,494,0,1,6,boss_attack
